"TIMESTAMP","RECORD","Batt_Volt_Min","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1_Avg","Indice_UV_2_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"2023-01-25 05:40:00",97,9.62,0,0.001,0,0,0.1,3.991,1.711,16.51,16.78,16.24,0.14,49.32,50.24,48.3,0.557,1.493,2.45,0,0.376,1.162,876.2861,0
"2023-01-25 05:50:00",98,9.49,0,0.054,0,0,0.1,3.991,1.711,16.33,16.51,16.13,0.078,50.03,50.72,49.39,0.322,1.974,2.45,0.95,0.405,1.016,876.3519,0
"2023-01-25 06:00:00",99,9.36,0,0.022,0,0,0.1,3.991,1.711,16.3,16.51,16,0.1,50.2,51.64,49.49,0.516,1.761,2.45,0.95,0.328,1.113,876.4419,0
"2023-01-25 06:10:00",100,9.21,0,0.064,0,0,0.1,3.991,1.711,16.27,16.51,16.03,0.088,50.23,51.23,49.56,0.389,1.832,2.45,0,0.385,1.089,876.5806,0
"2023-01-25 06:20:00",101,9.04,0,0.033,0,0,0.1,3.991,1.711,16.29,16.48,16.13,0.066,50.18,51.09,49.45,0.311,1.953,2.45,0.95,0.387,1.065,876.6052,0
"2023-01-25 08:10:00",102,8.89,129.1,459.9,38.91,205.3,0.105,4.214,1.807,15.71,16.07,15.42,0.175,54.14,55.32,52.45,0.658,0.924,1.7,0,0.372,1.331,877.8123,0
"2023-01-25 08:20:00",103,10.85,145.4,522.3,43.53,251.3,0.107,4.297,1.842,16.35,16.75,16,0.192,51.94,53.17,50.48,0.71,0.985,1.7,0,0.386,1.379,877.9867,0
"2023-01-25 08:30:00",104,10.56,198.3,575.8,48.36,299.3,0.11,4.401,1.887,16.98,17.4,16.61,0.178,49.72,50.72,48.3,0.723,0.342,0.95,0,0.456,1.476,878.0756,0
"2023-01-25 08:40:00",105,10.97,234.8,619.5,51.96,344,0.113,4.533,1.944,17.63,17.97,17.26,0.172,47.91,48.53,47.37,0.299,0,0,0,0,1.573,878.2568,0
"2023-01-25 08:50:00",106,11,273.6,660.8,55.52,390.6,0.117,4.686,2.01,18.47,19.23,17.87,0.386,47.32,48.12,46.55,0.353,0.032,0.95,0,0.171,1.5,878.3577,0
"2023-01-25 09:00:00",107,11.04,311.3,690.7,58.93,434.2,0.122,4.862,2.085,19.93,20.66,19.16,0.385,46.4,47.95,44.85,0.795,0.128,1.7,0,0.33,1.573,878.4156,0
"2023-01-25 09:10:00",108,11.09,349.8,718.4,61.44,478,0.127,5.06,2.17,20.78,21.03,20.52,0.12,47.41,48.7,46.24,0.41,0.87,2.45,0,0.652,1.742,878.4798,0
"2023-01-25 09:20:00",109,11.6,390,749.7,63.66,525.3,0.132,5.292,2.269,21.26,21.54,20.76,0.201,44.87,47.71,42.12,1.286,1.025,2.45,0,0.525,1.984,878.5041,0
"2023-01-25 09:30:00",110,13.2,425,769.6,65.88,566.1,0.138,5.535,2.373,21.72,22.19,21.31,0.174,42.86,45.22,40.99,1.316,0.66,2.45,0,0.696,2.057,878.5009,0
"2023-01-25 09:40:00",111,13.16,460.5,784.2,68.92,605.1,0.145,5.79,2.483,22.13,22.43,21.85,0.126,41.2,42.29,39.08,0.715,1.169,3.2,0,0.559,2.105,878.4993,0
"2023-01-25 09:50:00",112,13.13,498.1,807,71.14,647.7,0.152,6.08,2.607,22.25,22.67,21.81,0.209,41.26,42.63,39.8,0.641,1.241,3.2,0,0.659,2.226,878.4854,0
"2023-01-25 10:00:00",113,13.1,532.7,825,73.46,686.7,0.16,6.384,2.737,23.07,23.76,22.6,0.297,39.12,40.89,36.39,0.93,1.058,2.45,0,0.732,2.25,878.4465,0
"2023-01-25 10:10:00",114,13.08,564.7,836,75.5,720.5,0.167,6.685,2.867,23.56,23.76,23.38,0.073,37.9,39.26,36.73,0.688,1.375,2.45,0,0.514,2.274,878.3965,0
"2023-01-25 10:20:00",115,13.07,593.8,846,77.2,752.1,0.175,6.991,2.998,24.1,24.54,23.38,0.29,36.95,38.71,35.78,0.677,1.026,3.2,0,0.766,2.395,878.2304,0
"2023-01-25 10:30:00",116,13.06,620.1,846,79.92,777.7,0.182,7.269,3.117,24.23,24.5,23.85,0.153,37.39,38.54,36.26,0.56,1.632,3.95,0,0.825,2.468,878.2022,0
"2023-01-25 10:40:00",117,13.06,649.6,853,82.7,808,0.189,7.573,3.247,23.47,23.92,22.96,0.151,39.21,40.1,38.13,0.4,2.012,3.95,0,0.833,2.516,878.1931,0
"2023-01-25 10:50:00",118,13.06,679.5,866,84.5,840,0.197,7.873,3.376,22.72,23.37,22.21,0.343,40.69,41.91,39.04,0.682,2.323,4.7,0,1,2.564,878.1483,0
"2023-01-25 11:00:00",119,13.05,702.2,875,85.3,865,0.204,8.17,3.505,23.64,24.35,22.79,0.376,38.21,40.07,36.45,0.994,1.74,4.7,0,1.048,2.612,878.0669,0
"2023-01-25 11:10:00",120,13.03,726.9,884,86,889,0.212,8.48,3.638,23.95,24.56,23.33,0.316,37.25,39.01,35.67,0.892,2.002,4.7,0,0.706,2.564,877.918,0
"2023-01-25 11:20:00",121,13.03,747,888,87.9,911,0.219,8.75,3.754,24.31,24.63,23.67,0.172,36.88,38.6,35.91,0.524,1.988,4.7,0,1.04,2.637,877.8166,0
"2023-01-25 11:30:00",122,13.02,766.9,892,90,931,0.225,9,3.858,24.36,25.21,23.74,0.44,37.2,38.43,35.57,0.633,1.813,3.95,0,0.997,2.637,877.6029,0
